id,value,name,loc_type,parent,latitude,longitude
23795,20121361,MAJLISHPUR,4,201213,24.0237755992,91.1468602025
23796,20192779,MAIJKHARA,4,201927,23.4310020578,90.9709548029
23797,20751085506,MAMINPUR,5,20751085,,
23798,20197287584,MAMISAR,5,20197287,,
23799,20752183781,MAMUDNAGAR,5,20752183,,
23800,20516514545,MAMUDPUR,5,20516514,,
23801,20150485618,MAMURKHAIN,5,20150485,,
23802,20196765606,MANAGRAM,5,20196765,,
23803,20199410637,MANAIRKANDI,5,20199410,,
23804,20191588557,MANARA,5,20191588,,
23805,20197431586,MANARA,5,20197431,,
23806,20758740573,MANARKHIL,5,20758740,,
23807,20156176679,MANASA,5,20156176,,
23808,20126356685,MANDABAGH,5,20126356,,
23809,20197413588,MANDARGAON,5,20197413,,
23810,20193190648,MANDARI,5,20193190,,
23811,20132281677,MANDARI,5,20132281,,
23812,20309419704,MANDARI,5,20309419,,
23813,20751028514,MANDARIPUR,5,20751028,,
23814,20134583635,MANDARKHIL,5,20134583,,
23815,20126318654,MANDARPUR,5,20126318,,
23816,20304181504,MANDARPUR,5,20304181,,
23817,20190975598,MANDARTALI,5,20190975,,
23818,20134559640,MANDARTALI,5,20134559,,
23819,20758765577,MANDARTALI,5,20758765,,
23820,20157813609,MANDIA,5,20157813,,
23821,20198799590,MANDRA,5,20198799,,
23822,20198760593,MANDRA,5,20198760,,
23823,20197459595,MANDUARA,5,20197459,,
23824,20190912603,MANDUK,5,20190912,,
23825,20197459597,MANDURI,5,20197459,,
23826,20193664641,MANGAIR,5,20193664,,
23827,20195422603,MANGALERKANDI,5,20195422,,
23828,20309457715,MANGALKANDI,5,20309457,,
23829,20191869569,MANGHATA,5,20191869,,
23830,20191556577,MANGOCHH,5,20191556,,
23831,20030463568,MANGU,5,20030463,,
23832,20158247660,MANGYAPARA,5,20158247,,
23833,20158276669,MANIABAD,5,20158276,,
23834,20120276736,MANIAND,5,20120276,,
23835,20137643649,MANIGAON,5,20137643,,
23836,20132285682,MANIHAR,5,20132285,,
23837,20848767778,MANIK CHHARI,5,20848767,,
23838,20150850704,MANIK PATHAN,5,20150850,,
23839,20197571415,MANIKAR CHAR,5,20197571,,
23840,20466763758,MANIKCHHARI,5,20466763,,
23841,20198190559,MANIKDI,5,20198190,,
23842,20128512663,MANIKNAGAR,5,20128512,,
23843,20193195650,MANIKPUR,5,20193195,,
23844,20751017523,MANIKPUR,5,20751017,,
23845,20758373615,MANIKPUR,5,20758373,,
23846,20758013653,MANIKPUR,5,20758013,,
23847,20153352594,MANIKPUR,5,20153352,,
23848,20221687627,MANIKPUR,5,20221687,,
23849,20134505646,MANIKRAJ,5,20134505,,
23850,20190975607,MANIKSAR,5,20190975,,
23851,20758315518,MANIKYANAGAR,5,20758315,,
23852,20754770581,MANINAGAR,5,20754770,,
23853,20192720608,MANIPUR,5,20192720,,
23854,20193358618,MANIPUR,5,20193358,,
23855,20305147545,MANIPUR,5,20305147,,
23856,20134759077,MANIPUR,5,20134759,,
23857,20304113519,MANIPUR,5,20304113,,
23858,20197431600,MANIPUR,5,20197431,,
23859,20758745584,MANIPUR,5,20758745,,
23860,20226666688,MANIRJHIL,5,20226666,,
23861,20198743654,MANNARA,5,20198743,,
23862,20190994611,MANOHARA,5,20190994,,
23863,20751017591,MANOHARAPUR,5,20751017,,
23864,20132231725,MANOHARKANDI,5,20132231,,
23865,20191811613,MANOHARPUR,5,20191811,,
23866,20190912628,MANOHARPUR,5,20190912,,
23867,20135863610,MANOHARPUR,5,20135863,,
23868,20197277629,MANOHARPUR,5,20197277,,
23869,20139590576,MANOHARPUR,5,20139590,,
23870,20514395648,MANOHARPUR,5,20514395,,
23871,20197287602,MANPAL,5,20197287,,
23872,20466763710,MANPRUTALI,5,20466763,,
23873,20135855615,MANPUR,5,20135855,,
23874,20750780621,MANPUR,5,20750780,,
23875,20758725588,MANSADPUR,5,20758725,,
23876,20134589652,MANTALA,5,20134589,,
23877,20304167533,MANTALA,5,20304167,,
23878,20137911653,MANTAPI,5,20137911,,
23879,20193638645,MANTHAN,5,20193638,,
23880,20190982615,MANUA,5,20190982,,
23881,20137915657,MANUARKANDI,5,20137915,,
23882,20134553657,MANURI,5,20134553,,
23883,20158247651,MANYABAD,5,20158247,,
23884,20842163817,MAODANG,5,20842163,,
23885,20197459604,MARAHA MAJHIAKHALI,5,20197459,,
23886,20466171806,MARAMCHHARI,5,20466171,,
23887,20134955567,MARAMURA,5,20134955,,
23888,20132231693,MARAR CHAR,5,20132231,,
23889,20158269678,MARFALA,5,20158269,,
23890,20198773606,MARIAGAON,5,20198773,,
23891,20194077649,MARICHA,5,20194077,,
23892,20229415306,MARICHA PALONG,5,20229415,,
23893,20120423739,MARICHAKANDI,5,20120423,,
23894,20194099656,MARICHAKANDI,5,20194099,,
23895,20845840678,MARICHYA CHAR,5,20845840,,
23896,20840759999,MARISHYA,5,20840759,,
23897,20840759523,MARISHYA,5,20840759,,
23898,201974,MANOHARGANJ,3,2019,23.140138231,91.0668826343
23899,20120276,MANIAND,4,201202,23.8090560275,91.2011110676
23900,20197571,MANIKER CHAR,4,201975,23.6347532873,90.7117911304
23901,20840759,MARISHYA,4,208407,23.1955202314,92.2642389662
23902,20309457,MANGALKANDI,4,203094,22.9038338016,91.3930482298
23903,20751028531,MARIYAD PARA,5,20751028,,
23904,20134950570,MARKI,5,20134950,,
23905,20193157656,MARKOTA,5,20193157,,
23906,20302920586,MARUAR CHAR,5,20302920,,
23907,20193664648,MARUKA,5,20193664,,
23908,20750710624,MASAKPUR,5,20750710,,
23909,20191811584,MASARA,5,20191811,,
23910,20847557796,MASCHHARI,5,20847557,,
23911,20194059663,MASIKARA,5,20194059,,
23912,20514380614,MASIMNAGAR,5,20514380,,
23913,20135899586,MASIMPUR,5,20135899,,
23914,20134505663,MASIMPUR,5,20134505,,
23915,20516523561,MASIMPUR,5,20516523,,
23916,20758321627,MASIMPUR,5,20758321,,
23917,20302922591,MASIMPUR,5,20302922,,
23918,20193157660,MASKARA,5,20193157,,
23919,20129080736,MASLANDAPUR,5,20129080,,
23920,20135813621,MASNIGACHHA,5,20135813,,
23921,20139515581,MASUKA (MANIPUR),5,20139515,,
23922,20758038663,MATABI,5,20758038,,
23923,20302960595,MATABI,5,20302960,,
23924,20514370618,MATABI,5,20514370,,
23925,20134935577,MATAIN,5,20134935,,
23926,20030463700,MATAMUHURI R.F.,5,20030463,,
23927,20199469652,MATAPI,5,20199469,,
23928,20137911666,MATAPI,5,20137911,,
23929,20224971706,MATARBARI,5,20224971,,
23930,20193335631,MATH PUSKARINI,5,20193335,,
23931,20302923599,MATHBARIA,5,20302923,,
23932,20302964603,MATHIARA,5,20302964,,
23933,20190975620,MATHURAPUR,5,20190975,,
23934,20135813627,MATHURAPUR,5,20135813,,
23935,20301457590,MATIAGADA,5,20301457,,
23936,20129065746,MATIAIN,5,20129065,,
23937,20758038673,MATIAN,5,20758038,,
23938,20193399636,MATIARA,5,20193399,,
23939,20190994624,MATIARA,5,20190994,,
23940,20758780592,MATIPUR (PART-B),5,20758780,,
23941,20467099859,MATIRANGA,5,20467099,,
23942,20751017540,MATKI,5,20751017,,
23943,20198154572,MATKIR CHAR,5,20198154,,
23944,20514380622,MATLABPUR,5,20514380,,
23945,20191812594,MATLAR CHAR,5,20191812,,
23946,20301499598,MATUA,5,20301499,,
23947,20302923608,MATUA,5,20302923,,
23948,20758321630,MATUBI,5,20758321,,
23949,20193673656,MAURABARI,5,20193673,,
23950,20845881655,MAYANI MUKH,5,20845881,,
23951,20198769666,MAYURA,5,20198769,,
23952,20466171868,MAYURKHIL,5,20466171,,
23953,20199485659,MAZAMEKANDI,5,20199485,,
23954,20221667642,MEDAKACHHAPIA,5,20221667,,
23955,20751017548,MEGHA,5,20751017,,
23956,20157069663,MEGHACHHARI,5,20157069,,
23957,20135887633,MEGHDAIR,5,20135887,,
23958,20197442611,MEHALDARKOT,5,20197442,,
23959,20192779615,MEHAR,5,20192779,,
23960,20156176685,MEHERATI,5,20156176,,
23961,20225683658,MEHERNAMA,5,20225683,,
23962,20153765663,MEKHAL,5,20153765,,
23963,20751066557,MEKRA CHAR,5,20751066,,
23964,20305147561,MELAGHAR,5,20305147,,
23965,20198131578,MELAN CHAR,5,20198131,,
23966,20156115691,MELGHAR,5,20156115,,
23967,20197235613,MELLA,5,20197235,,
23968,20157425580,MELUA,5,20157425,,
23969,20134970580,MENAPUR,5,20134970,,
23970,20197235614,MENJIA PARA,5,20197235,,
23971,20226615714,MERANGLOA,5,20226615,,
23972,20758394634,MERI PARA,5,20758394,,
23973,20128513669,MERKUTA,5,20128513,,
23974,20128536675,MERKUTA,5,20128536,,
23975,20197463618,MERUA,5,20197463,,
23976,20121350471,MERURA (PART),5,20121350,,
23977,20193171668,MESTALA,5,20193171,,
23978,20198110585,METANGHAR,5,20198110,,
23979,20198757620,METUA,5,20198757,,
23980,20039576271,MIBAKHYA,5,20039576,,
23981,20193638663,MINARDIA,5,20193638,,
23982,20150882732,MINJITOLA,5,20150882,,
23983,20193324638,MINNATPUR (MINNATNAGAR),5,20193324,,
23984,20750766637,MIR AHMADPUR,5,20750766,,
23985,20750770640,MIR ALIPUR,5,20750770,,
23986,20750770643,MIR WARISHPUR,5,20750770,,
23987,20199462666,MIRBAHARI,5,20199462,,
23988,20302951612,MIRGANJ,5,20302951,,
23989,20514313627,MIRIKPUR,5,20514313,,
23990,20120481752,MIRPUR,5,20120481,,
23991,20191811597,MIRPUR,5,20191811,,
23992,201376,MATLAB DAKSHIN,3,2013,23.3499248886,90.7468968437
23993,201975,MEGHNA,3,2019,23.6247599765,90.6908772907
23994,20302960,MATABI,4,203029,23.0003751119,91.4644292996
23995,20224971,MATARBARI,4,202249,21.7282422128,91.8946008155
